Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
9.791 0.146 -0.107 |1.404 0.549 -0.183 |65833
9.772 0.120 -0.050 |1.343 0.732 -0.183 |56458
9.772 0.153 -0.029 |1.343 0.793 0.061 |16334
9.789 0.113 -0.045 |1.404 0.732 0.122 |137833
9.798 0.084 -0.057 |1.465 0.671 -0.122 |56417
9.772 0.124 -0.133 |1.465 0.671 -0.122 |55959
9.739 0.084 -0.026 |1.343 0.671 -0.122 |57208
9.755 0.089 -0.048 |1.526 0.732 -0.183 |56458
9.763 0.122 -0.121 |1.465 0.671 0.061 |56584
9.798 0.093 -0.071 |1.465 0.732 -0.183 |56416
9.784 0.077 -0.031 |1.526 0.671 -0.122 |56375
9.772 0.117 -0.078 |1.465 0.549 0.061 |56584
9.746 0.108 -0.050 |1.465 0.671 -0.122 |56583
9.782 0.103 -0.067 |1.343 0.732 -0.122 |16500
9.794 0.101 -0.100 |1.343 0.732 -0.122 |16708
9.755 0.132 -0.057 |1.465 0.671 -0.122 |20334
9.758 0.127 -0.105 |1.526 0.671 -0.183 |56000
9.755 0.122 -0.095 |1.465 0.488 -0.244 |56125
9.791 0.093 -0.090 |1.465 0.427 -0.183 |56250
9.794 0.105 0.002 |1.343 0.549 -0.122 |56500
9.779 0.065 -0.017 |1.648 0.610 -0.061 |16000
9.770 0.062 -0.116 |1.587 0.549 -0.122 |16667
9.784 0.120 -0.126 |1.465 0.427 -0.183 |16291
9.772 0.117 -0.102 |1.404 0.427 -0.183 |16250
9.748 0.086 -0.069 |1.343 0.488 -0.122 |16292
9.779 0.086 -0.038 |1.282 0.366 0.000 |56000
9.796 0.089 -0.081 |1.343 0.366 0.061 |16375
9.779 0.101 -0.067 |1.404 0.549 0.000 |16375
9.772 0.093 -0.093 |1.343 0.671 -0.122 |16458
9.775 0.108 -0.090 |1.282 0.671 -0.122 |16500
9.775 0.110 -0.095 |1.343 0.671 -0.183 |16792
9.782 0.132 -0.114 |1.343 0.671 -0.244 |16250
9.796 0.139 -0.109 |1.282 0.610 -0.305 |16250
9.796 0.139 -0.109 |1.282 0.488 -0.183 |56000
9.767 0.156 -0.095 |1.282 0.427 -0.122 |17125
9.767 0.141 -0.109 |1.343 0.427 -0.183 |16083
9.760 0.113 -0.064 |1.465 0.549 -0.183 |21875
9.753 0.086 -0.019 |1.526 0.671 -0.122 |20333
9.779 0.072 -0.005 |1.465 0.732 -0.244 |16792
