Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
-0.048 9.870 -0.247 |-0.183 -0.488 0.000 |57542
-0.029 9.870 -0.290 |-0.122 -0.671 0.061 |51500
-0.014 9.867 -0.264 |-0.183 -0.671 -0.122 |39417
-0.022 9.886 -0.309 |-0.305 -0.610 -0.122 |203917
-0.045 9.903 -0.254 |-0.244 -0.549 -0.122 |32667
-0.019 9.867 -0.242 |-0.427 -0.549 -0.122 |36084
-0.033 9.843 -0.261 |-0.488 -0.610 -0.122 |32459
-0.038 9.829 -0.290 |-0.122 -0.610 -0.061 |51333
-0.038 9.829 -0.276 |-0.122 -0.610 -0.061 |33042
0.007 9.853 -0.285 |-0.122 -0.671 0.000 |33708
0.002 9.850 -0.316 |0.000 -0.732 0.122 |36333
-0.022 9.827 -0.202 |-0.122 -0.671 0.183 |36875
-0.010 9.858 -0.245 |-0.244 -0.427 0.122 |35875
-0.010 9.848 -0.261 |-0.244 -0.549 0.061 |33334
-0.084 9.896 -0.344 |-0.122 -0.610 0.061 |56875
-0.053 9.903 -0.309 |0.244 -0.549 -0.061 |50917
-0.007 9.812 -0.311 |-0.061 -0.549 0.000 |31250
0.017 9.846 -0.254 |-0.122 -0.610 0.122 |34958
-0.017 9.846 -0.264 |-0.061 -0.610 0.061 |33542
-0.057 9.872 -0.321 |-0.122 -0.610 -0.183 |31625
-0.041 9.870 -0.290 |-0.183 -0.549 -0.122 |154208
-0.043 9.853 -0.276 |-0.244 -0.488 -0.061 |56167
-0.043 9.860 -0.285 |-0.122 -0.488 -0.061 |55917
-0.043 9.867 -0.266 |-0.305 -0.427 -0.183 |55625
-0.031 9.829 -0.287 |-0.122 -0.488 0.000 |55916
-0.045 9.858 -0.247 |-0.183 -0.488 0.061 |55791
-0.019 9.870 -0.266 |-0.183 -0.549 0.061 |56334
-0.033 9.848 -0.283 |-0.244 -0.671 -0.183 |16292
-0.026 9.838 -0.285 |-0.244 -0.610 0.000 |16417
-0.038 9.841 -0.230 |-0.244 -0.610 0.000 |16167
-0.057 9.846 -0.247 |-0.244 -0.549 0.061 |16708
-0.048 9.838 -0.290 |-0.122 -0.549 -0.061 |56834
-0.031 9.822 -0.278 |0.000 -0.488 -0.244 |56083
-0.022 9.838 -0.302 |0.000 -0.549 -0.061 |56250
-0.062 9.843 -0.235 |-0.122 -0.549 0.183 |56083
-0.038 9.879 -0.280 |0.000 -0.427 0.061 |56167
-0.019 9.831 -0.235 |0.000 -0.488 -0.122 |16792
-0.002 9.838 -0.235 |-0.061 -0.549 -0.183 |16292
-0.010 9.848 -0.266 |-0.122 -0.610 -0.061 |17083
-0.002 9.831 -0.273 |-0.061 -0.549 0.061 |16667
-0.007 9.829 -0.283 |-0.061 -0.549 0.183 |55250
-0.038 9.827 -0.268 |-0.122 -0.549 0.000 |24125
-0.045 9.879 -0.278 |-0.061 -0.610 -0.122 |17708
-0.029 9.901 -0.261 |0.000 -0.549 -0.122 |16416
-0.048 9.867 -0.238 |-0.122 -0.488 -0.122 |16917
-0.057 9.812 -0.295 |-0.244 -0.549 -0.061 |16500
-0.053 9.843 -0.309 |-0.305 -0.549 -0.061 |16291
-0.065 9.855 -0.276 |-0.183 -0.366 -0.122 |16292
-0.065 9.855 -0.276 |0.061 -0.366 -0.122 |55750
-0.050 9.867 -0.290 |0.061 -0.305 -0.244 |16875
-0.022 9.855 -0.318 |-0.061 -0.244 -0.366 |16291
-0.005 9.841 -0.321 |-0.061 -0.244 -0.305 |16417
-0.002 9.838 -0.316 |0.000 -0.366 -0.183 |54834
0.012 9.853 -0.283 |0.000 -0.427 -0.122 |17041
-0.022 9.865 -0.304 |-0.061 -0.427 0.061 |16500
-0.033 9.874 -0.278 |0.000 -0.427 0.244 |16500
-0.022 9.870 -0.195 |0.000 -0.427 0.244 |16792
-0.026 9.867 -0.221 |-0.061 -0.488 0.122 |16333
-0.019 9.872 -0.283 |0.061 -0.488 0.000 |16583
-0.026 9.865 -0.304 |0.122 -0.427 0.061 |16667
-0.026 9.843 -0.257 |0.122 -0.549 0.061 |16583
-0.026 9.843 -0.257 |0.000 -0.610 0.061 |55667
-0.031 9.827 -0.247 |-0.122 -0.488 0.061 |16750
-0.031 9.834 -0.280 |-0.122 -0.305 0.000 |16792
-0.031 9.846 -0.254 |-0.122 -0.183 -0.061 |16959
-0.019 9.846 -0.261 |-0.122 -0.183 -0.061 |24750
-0.029 9.858 -0.314 |0.122 -0.549 0.122 |18875
-0.062 9.862 -0.271 |0.183 -0.732 0.183 |55458
-0.012 9.870 -0.335 |0.061 -0.793 0.183 |17042
-0.026 9.882 -0.335 |-0.061 -0.671 0.122 |16500
-0.026 9.882 -0.335 |0.000 -0.549 0.000 |16291
-0.038 9.886 -0.330 |0.122 -0.610 -0.122 |16500
-0.033 9.850 -0.254 |0.183 -0.671 -0.122 |16208
-0.060 9.815 -0.207 |0.122 -0.610 0.000 |16375
-0.055 9.848 -0.276 |0.122 -0.488 0.061 |17125
-0.029 9.884 -0.292 |0.122 -0.488 0.061 |16667
-0.031 9.867 -0.283 |0.122 -0.427 0.061 |16709
-0.038 9.865 -0.304 |0.061 -0.427 0.061 |16458
-0.043 9.874 -0.321 |0.122 -0.366 0.061 |17417
-0.043 9.882 -0.304 |0.244 -0.427 0.000 |17291
-0.024 9.867 -0.204 |0.183 -0.549 0.000 |16166
0.005 9.838 -0.176 |0.000 -0.549 -0.061 |16667
0.005 9.824 -0.245 |0.000 -0.427 -0.061 |16500
-0.026 9.841 -0.283 |0.061 -0.305 0.061 |16542
-0.024 9.870 -0.245 |0.122 -0.244 0.061 |295125
-0.014 9.855 -0.240 |0.244 -0.122 0.061 |19000
-0.033 9.838 -0.295 |0.244 -0.122 0.061 |17125
-0.048 9.879 -0.325 |0.061 -0.244 0.000 |16458
-0.053 9.886 -0.314 |-0.061 -0.305 0.000 |56167
-0.041 9.834 -0.306 |0.061 -0.244 0.061 |21000
-0.041 9.812 -0.337 |0.183 -0.305 0.183 |17417
-0.024 9.872 -0.366 |0.183 -0.427 0.244 |17416
-0.038 9.874 -0.306 |0.183 -0.488 0.122 |16333
-0.055 9.846 -0.247 |0.244 -0.427 -0.122 |16458
-0.053 9.858 -0.273 |0.244 -0.366 -0.244 |16125
-0.031 9.874 -0.252 |0.183 -0.427 -0.183 |55750
-0.031 9.858 -0.219 |0.183 -0.366 -0.122 |16542
-0.022 9.834 -0.242 |0.244 -0.305 0.000 |16208
0.000 9.860 -0.240 |0.244 -0.305 0.122 |55208
-0.007 9.872 -0.219 |0.244 -0.305 0.183 |16834
-0.031 9.846 -0.247 |0.305 -0.244 0.122 |16542
-0.050 9.848 -0.285 |0.122 -0.366 -0.061 |16459
-0.048 9.862 -0.264 |0.061 -0.427 -0.244 |16625
-0.031 9.853 -0.264 |0.061 -0.427 -0.244 |16375
-0.007 9.867 -0.297 |0.122 -0.427 -0.244 |16833
0.002 9.889 -0.304 |0.183 -0.305 -0.122 |16625
-0.029 9.865 -0.306 |0.244 -0.305 -0.061 |16292
-0.026 9.846 -0.304 |0.244 -0.488 0.244 |55500
-0.012 9.862 -0.292 |0.183 -0.366 0.305 |16209
-0.038 9.855 -0.290 |0.244 -0.244 0.183 |16334
-0.033 9.846 -0.285 |0.244 -0.305 -0.061 |54958
-0.024 9.848 -0.226 |0.244 -0.305 -0.122 |16541
-0.024 9.848 -0.226 |0.183 -0.366 0.000 |16459
-0.041 9.841 -0.316 |0.061 -0.366 0.061 |16542
-0.060 9.846 -0.311 |0.122 -0.305 -0.061 |16958
-0.033 9.891 -0.314 |0.244 -0.305 -0.183 |16250
-0.038 9.903 -0.323 |0.366 -0.305 -0.244 |15875
-0.069 9.867 -0.349 |0.366 -0.305 -0.244 |55041
