Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
-0.041 9.822 -0.278 |-0.549 -0.488 -0.122 |62250
-0.036 9.843 -0.311 |-0.427 -0.305 0.061 |51458
-0.014 9.877 -0.280 |-0.366 -0.305 0.122 |52083
-0.053 9.894 -0.297 |-0.427 -0.305 0.000 |32500
-0.022 9.860 -0.306 |-0.610 -0.366 0.061 |34917
-0.017 9.846 -0.240 |-0.671 -0.366 0.061 |35083
0.000 9.853 -0.254 |-0.732 -0.427 0.061 |32584
-0.026 9.858 -0.264 |-0.671 -0.488 0.122 |149792
-0.026 9.795 -0.247 |-0.671 -0.488 0.122 |55958
-0.005 9.810 -0.268 |-0.549 -0.427 0.061 |57250
-0.038 9.872 -0.292 |-0.488 -0.427 0.183 |28334
-0.045 9.846 -0.344 |-0.488 -0.366 0.305 |31625
-0.062 9.841 -0.325 |-0.549 -0.366 0.244 |31667
-0.017 9.841 -0.342 |-0.610 -0.488 -0.061 |34250
0.002 9.815 -0.285 |-0.549 -0.610 -0.061 |30458
-0.024 9.836 -0.290 |-0.610 -0.549 -0.061 |31750
-0.031 9.848 -0.249 |-0.549 -0.366 0.061 |34500
-0.048 9.855 -0.219 |-0.488 -0.366 -0.061 |56375
-0.033 9.853 -0.238 |-0.549 -0.305 -0.122 |27333
-0.012 9.877 -0.230 |-0.671 -0.366 0.000 |37333
-0.022 9.848 -0.290 |-0.610 -0.610 -0.061 |57291
-0.065 9.860 -0.278 |-0.549 -0.549 -0.061 |56458
-0.019 9.836 -0.283 |-0.488 -0.549 -0.122 |56791
-0.031 9.836 -0.306 |-0.671 -0.488 0.000 |16292
-0.043 9.841 -0.304 |-0.793 -0.488 0.000 |16208
-0.038 9.836 -0.259 |-0.793 -0.488 0.000 |16250
-0.050 9.836 -0.271 |-0.854 -0.549 0.000 |16125
-0.036 9.846 -0.316 |-0.854 -0.549 0.122 |221542
-0.012 9.855 -0.325 |-0.793 -0.610 -0.061 |56334
0.005 9.848 -0.295 |-0.732 -0.549 0.061 |56333
-0.038 9.870 -0.259 |-0.610 -0.244 0.061 |56750
-0.017 9.894 -0.261 |-0.488 -0.244 0.000 |56458
-0.014 9.908 -0.292 |-0.732 -0.488 -0.183 |56458
-0.031 9.870 -0.316 |-0.732 -0.549 -0.183 |56542
-0.057 9.838 -0.330 |-0.610 -0.427 -0.061 |55209
-0.057 9.874 -0.404 |-0.549 -0.427 0.000 |16917
-0.062 9.862 -0.323 |-0.610 -0.549 0.000 |20375
-0.062 9.858 -0.228 |-0.610 -0.549 0.000 |17292
-0.026 9.846 -0.259 |-0.671 -0.549 -0.061 |16458
-0.005 9.850 -0.283 |-0.610 -0.549 -0.183 |17875
-0.026 9.867 -0.238 |-0.549 -0.488 -0.305 |16084
-0.029 9.831 -0.197 |-0.671 -0.427 -0.183 |15875
-0.017 9.791 -0.259 |-0.732 -0.488 0.000 |16250
-0.019 9.824 -0.278 |-0.671 -0.610 -0.061 |56041
-0.057 9.872 -0.249 |-0.671 -0.610 -0.061 |16417
-0.050 9.865 -0.290 |-0.549 -0.488 -0.183 |16375
-0.007 9.834 -0.292 |-0.610 -0.427 -0.122 |56542
-0.053 9.850 -0.309 |-0.488 -0.610 -0.061 |56167
-0.007 9.858 -0.335 |-0.488 -0.549 -0.122 |16542
0.000 9.838 -0.321 |-0.549 -0.488 -0.122 |16125
-0.019 9.831 -0.337 |-0.610 -0.549 0.000 |16208
-0.050 9.838 -0.342 |-0.610 -0.549 -0.061 |16625
-0.067 9.870 -0.290 |-0.610 -0.488 -0.183 |56334
-0.041 9.850 -0.240 |-0.488 -0.549 0.061 |16542
-0.026 9.815 -0.252 |-0.549 -0.488 0.122 |16500
-0.033 9.822 -0.264 |-0.488 -0.549 -0.061 |16333
-0.022 9.827 -0.268 |-0.488 -0.549 -0.061 |16417
-0.038 9.843 -0.264 |-0.488 -0.549 -0.183 |16125
-0.024 9.889 -0.259 |-0.488 -0.549 -0.122 |16292
-0.010 9.906 -0.257 |-0.488 -0.549 0.061 |16500
-0.002 9.894 -0.259 |-0.549 -0.488 0.183 |16125
0.007 9.870 -0.223 |-0.488 -0.488 0.061 |16500
-0.024 9.836 -0.178 |-0.427 -0.610 -0.061 |56209
-0.019 9.862 -0.238 |-0.488 -0.610 -0.122 |16667
-0.019 9.860 -0.290 |-0.549 -0.610 -0.122 |16708
-0.019 9.846 -0.287 |-0.488 -0.549 -0.183 |15959
-0.017 9.860 -0.276 |-0.488 -0.671 -0.061 |16292
-0.045 9.882 -0.285 |-0.488 -0.671 0.122 |16375
-0.026 9.882 -0.309 |-0.549 -0.549 0.183 |16875
-0.014 9.860 -0.309 |-0.549 -0.549 0.122 |16334
-0.038 9.853 -0.299 |-0.549 -0.671 0.000 |16667
-0.036 9.829 -0.278 |-0.488 -0.610 -0.061 |22500
-0.019 9.846 -0.245 |-0.488 -0.549 -0.061 |56125
-0.029 9.848 -0.273 |-0.488 -0.610 0.000 |16291
-0.033 9.886 -0.271 |-0.488 -0.732 0.122 |16416
-0.026 9.886 -0.271 |-0.427 -0.793 0.122 |16583
-0.010 9.838 -0.264 |-0.366 -0.732 0.061 |16916
0.012 9.831 -0.249 |-0.305 -0.610 -0.061 |16417
0.012 9.846 -0.216 |-0.244 -0.610 0.000 |16042
-0.010 9.858 -0.283 |-0.427 -0.610 0.122 |16667
-0.010 9.858 -0.283 |-0.610 -0.732 0.183 |16209
-0.026 9.855 -0.266 |-0.549 -0.732 0.061 |55083
-0.041 9.862 -0.226 |-0.366 -0.671 0.000 |16625
