Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
-0.081 -0.484 -9.978 |0.000 0.061 -0.732 |66333
-0.067 -0.503 -9.955 |0.061 0.061 -0.488 |56583
-0.103 -0.503 -9.959 |0.244 0.061 -0.183 |56458
-0.084 -0.567 -9.921 |0.061 0.061 -0.244 |55250
-0.112 -0.529 -9.938 |-0.061 0.061 -0.305 |197834
-0.081 -0.507 -9.933 |-0.061 0.061 -0.244 |56083
-0.060 -0.500 -9.917 |0.061 0.000 -0.122 |56917
-0.081 -0.517 -9.893 |0.122 -0.122 -0.122 |16875
-0.100 -0.515 -9.921 |0.122 -0.061 -0.244 |16542
-0.088 -0.510 -9.928 |0.122 0.000 -0.366 |16541
-0.072 -0.507 -9.952 |0.122 -0.061 -0.366 |56250
-0.055 -0.524 -9.995 |0.122 -0.061 -0.305 |56792
-0.098 -0.531 -9.974 |0.000 0.000 -0.427 |16167
-0.081 -0.524 -9.976 |-0.061 0.000 -0.488 |20500
-0.120 -0.498 -9.945 |0.061 0.000 -0.305 |18542
-0.115 -0.507 -9.947 |0.122 0.000 -0.183 |16875
-0.105 -0.515 -9.907 |0.244 0.000 -0.183 |16291
-0.120 -0.491 -9.864 |0.244 0.000 -0.244 |17958
-0.100 -0.481 -9.874 |0.122 0.000 -0.366 |18167
-0.105 -0.481 -9.921 |0.183 0.061 -0.427 |16417
-0.120 -0.517 -9.957 |0.305 0.000 -0.427 |16334
-0.120 -0.531 -9.966 |0.305 0.061 -0.427 |56125
-0.117 -0.517 -10.002 |0.183 0.122 -0.488 |62667
-0.100 -0.503 -9.900 |-0.061 0.122 -0.244 |57333
-0.105 -0.536 -9.921 |-0.061 0.061 -0.305 |56000
-0.076 -0.548 -9.900 |0.183 0.000 -0.366 |55750
-0.093 -0.529 -9.905 |0.061 0.122 -0.305 |57000
-0.076 -0.536 -9.947 |0.183 0.061 -0.244 |55625
-0.074 -0.512 -9.945 |0.061 -0.122 -0.305 |16667
-0.115 -0.496 -9.974 |0.061 -0.183 -0.366 |16959
-0.112 -0.486 -9.947 |0.000 -0.122 -0.366 |16459
-0.069 -0.517 -9.966 |0.061 -0.061 -0.305 |16500
-0.069 -0.517 -9.966 |0.061 0.000 -0.366 |16500
-0.055 -0.531 -9.964 |0.061 0.000 -0.488 |16292
-0.062 -0.536 -9.919 |0.122 -0.061 -0.488 |16541
-0.081 -0.536 -9.943 |0.183 -0.061 -0.305 |16417
-0.110 -0.519 -9.931 |0.122 -0.061 -0.244 |16834
-0.112 -0.541 -9.907 |0.122 0.000 -0.305 |55125
-0.112 -0.546 -9.914 |0.183 0.061 -0.244 |16917
-0.088 -0.505 -9.936 |0.122 0.061 -0.183 |16625
-0.105 -0.496 -9.931 |0.122 0.000 -0.122 |55791
-0.108 -0.498 -9.969 |0.183 -0.061 -0.244 |56708
-0.110 -0.517 -9.950 |0.061 0.061 -0.305 |56500
-0.124 -0.512 -9.890 |0.122 0.000 -0.244 |54375
-0.122 -0.505 -9.917 |0.122 -0.122 -0.305 |16875
-0.098 -0.524 -9.905 |0.122 -0.122 -0.305 |17125
-0.088 -0.546 -9.919 |0.183 -0.061 -0.244 |16166
-0.091 -0.534 -9.964 |0.183 -0.061 -0.244 |16458
-0.110 -0.505 -9.957 |0.183 -0.061 -0.244 |16500
-0.098 -0.476 -9.962 |0.061 -0.061 -0.366 |16584
-0.088 -0.491 -9.955 |-0.061 -0.122 -0.305 |16417
