Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
-0.265 0.531 -9.924 |1.648 0.000 -0.671 |64875
-0.289 0.500 -9.962 |1.587 0.000 -0.732 |54917
-0.213 0.484 -9.950 |1.526 0.061 -0.732 |56666
-0.258 0.476 -9.928 |1.648 0.244 -0.549 |53625
-0.273 0.481 -9.947 |1.709 0.183 -0.488 |54625
-0.265 0.450 -9.983 |1.648 0.305 -0.488 |54541
-0.263 0.457 -9.931 |1.587 0.183 -0.427 |53417
-0.299 0.472 -9.981 |1.587 0.183 -0.610 |16125
-0.258 0.464 -9.962 |1.648 0.305 -0.671 |16208
-0.229 0.460 -9.962 |1.770 0.305 -0.549 |16750
-0.229 0.460 -9.962 |1.770 0.183 -0.549 |16208
-0.237 0.464 -9.943 |1.648 0.122 -0.610 |55667
-0.206 0.484 -9.919 |1.465 0.000 -0.549 |54792
-0.265 0.498 -9.978 |1.526 0.000 -0.427 |54250
-0.258 0.507 -9.947 |1.648 0.061 -0.488 |55583
-0.227 0.481 -9.919 |1.709 0.122 -0.366 |16292
-0.256 0.491 -9.919 |1.770 0.183 -0.305 |16125
-0.265 0.464 -9.938 |1.709 0.183 -0.488 |16250
-0.253 0.457 -9.902 |1.770 0.244 -0.488 |53584
-0.258 0.472 -9.883 |1.831 0.305 -0.305 |54208
-0.237 0.484 -9.933 |1.587 0.244 -0.488 |54292
-0.253 0.491 -9.985 |1.587 0.244 -0.610 |16041
-0.249 0.445 -9.940 |1.587 0.183 -0.610 |16041
-0.232 0.464 -9.843 |1.526 0.122 -0.549 |17209
-0.225 0.491 -9.855 |1.587 0.122 -0.488 |16625
-0.225 0.491 -9.855 |1.648 0.061 -0.305 |16833
-0.201 0.476 -9.919 |1.648 0.061 -0.244 |16666
-0.196 0.488 -9.931 |1.648 0.000 -0.305 |15875
-0.225 0.476 -9.909 |1.587 -0.122 -0.244 |16292
-0.229 0.452 -9.876 |1.526 -0.244 -0.122 |16250
-0.215 0.445 -9.907 |1.526 -0.244 -0.122 |16292
-0.191 0.476 -9.912 |1.465 -0.122 -0.061 |16833
-0.189 0.522 -9.874 |1.404 0.061 -0.122 |16500
-0.227 0.503 -9.902 |1.404 0.061 -0.122 |16458
-0.232 0.486 -9.943 |1.343 0.000 -0.183 |16000
-0.206 0.479 -9.974 |1.343 0.000 -0.122 |16292
-0.208 0.467 -9.945 |1.404 0.000 -0.183 |16083
-0.232 0.467 -9.890 |1.465 0.061 -0.305 |16666
-0.213 0.488 -9.907 |1.526 -0.061 -0.305 |16416
-0.198 0.496 -9.921 |1.465 -0.122 -0.305 |16375
-0.208 0.464 -9.933 |1.343 -0.061 -0.427 |16208
-0.208 0.464 -9.933 |1.343 -0.061 -0.488 |47792
-0.241 0.433 -9.907 |1.404 -0.122 -0.305 |16208
-0.270 0.431 -9.940 |1.343 -0.122 -0.244 |16167
-0.265 0.443 -9.990 |1.343 -0.061 -0.244 |16625
-0.246 0.467 -9.974 |1.343 -0.061 -0.183 |16292
-0.253 0.491 -9.995 |1.343 -0.061 -0.183 |16416
-0.270 0.498 -9.971 |1.282 -0.122 -0.122 |16708
-0.241 0.500 -9.914 |1.221 -0.122 -0.244 |16417
-0.227 0.440 -9.914 |1.282 -0.244 -0.366 |16208
-0.237 0.395 -9.947 |1.343 -0.244 -0.366 |16208
-0.229 0.428 -9.924 |1.343 -0.183 -0.366 |15875
-0.194 0.436 -9.917 |1.221 0.000 -0.305 |25083
-0.189 0.450 -9.947 |1.160 -0.061 -0.366 |19541
-0.220 0.455 -9.966 |1.160 -0.061 -0.366 |17750
-0.239 0.419 -9.983 |1.160 -0.061 -0.366 |16541
-0.229 0.409 -9.931 |1.099 -0.061 -0.244 |16500
-0.218 0.428 -9.902 |1.099 -0.122 -0.122 |16583
-0.220 0.455 -9.971 |1.221 -0.183 -0.061 |16583
-0.222 0.469 -9.964 |1.282 -0.183 -0.122 |16291
-0.239 0.481 -9.883 |1.160 -0.122 -0.061 |16750
-0.261 0.457 -9.921 |0.977 -0.122 -0.061 |16667
-0.251 0.452 -9.936 |0.916 -0.061 -0.061 |17334
-0.237 0.431 -9.950 |0.916 -0.061 0.000 |16666
-0.237 0.405 -10.016 |0.916 -0.122 0.061 |24000
-0.237 0.405 -10.016 |0.916 -0.183 0.000 |18541
-0.234 0.455 -9.993 |0.854 -0.183 -0.122 |17917
-0.227 0.469 -9.990 |0.793 -0.122 -0.183 |17084
-0.227 0.455 -9.978 |0.793 0.000 -0.183 |16208
-0.229 0.457 -9.945 |0.793 0.000 -0.183 |16125
-0.241 0.457 -9.938 |0.793 0.000 -0.244 |16083
-0.246 0.433 -9.928 |0.854 0.000 -0.183 |16500
-0.239 0.431 -9.917 |0.854 0.000 -0.183 |16583
-0.246 0.457 -9.912 |0.916 -0.061 -0.122 |16875
-0.244 0.448 -9.907 |0.916 -0.122 -0.122 |16875
-0.229 0.414 -9.955 |0.793 -0.122 0.000 |16375
-0.237 0.402 -9.962 |0.610 -0.122 0.000 |16875
-0.258 0.409 -9.921 |0.549 -0.122 -0.061 |22792
-0.249 0.419 -9.947 |0.488 -0.061 -0.183 |19458
-0.225 0.452 -9.971 |0.427 0.061 -0.122 |18667
-0.218 0.484 -9.933 |0.488 0.000 0.122 |17458
-0.241 0.491 -9.928 |0.488 -0.122 0.244 |16583
-0.239 0.457 -9.924 |0.427 -0.061 0.183 |16542
-0.220 0.426 -9.893 |0.366 0.000 0.000 |16375
-0.213 0.421 -9.964 |0.366 -0.061 -0.061 |16583
-0.213 0.421 -9.964 |0.488 -0.061 -0.061 |261334
-0.249 0.421 -9.914 |0.549 -0.061 0.122 |56542
-0.244 0.452 -9.907 |0.305 0.000 0.183 |21500
-0.220 0.467 -9.945 |0.305 -0.061 0.000 |17916
-0.220 0.457 -9.898 |0.244 -0.061 0.000 |18334
-0.206 0.419 -9.898 |0.244 -0.061 0.000 |16791
-0.189 0.433 -9.909 |0.183 -0.061 0.000 |16584
-0.189 0.433 -9.909 |0.122 -0.122 0.000 |16750
-0.201 0.455 -9.931 |0.000 -0.122 -0.122 |18667
-0.201 0.433 -9.945 |-0.061 0.000 -0.183 |55750
-0.201 0.436 -9.931 |-0.122 0.122 -0.183 |55250
-0.220 0.440 -9.917 |-0.122 0.183 0.000 |16500
-0.201 0.462 -9.966 |0.061 0.122 0.305 |17042
-0.194 0.431 -9.983 |0.122 0.122 0.366 |16417
-0.206 0.419 -9.917 |0.000 0.061 0.305 |16500
-0.227 0.448 -9.876 |-0.183 0.000 0.244 |15959
-0.227 0.445 -9.912 |-0.183 -0.061 0.305 |23500
-0.220 0.421 -9.933 |-0.183 -0.061 0.244 |18375
-0.225 0.424 -9.928 |-0.183 -0.122 0.244 |16750
-0.218 0.433 -9.940 |-0.122 -0.122 0.244 |17125
-0.218 0.440 -9.988 |-0.122 0.061 0.183 |16667
-0.222 0.452 -9.943 |-0.244 0.122 0.122 |18792
-0.225 0.443 -9.900 |-0.305 0.000 0.183 |16833
-0.218 0.452 -9.950 |-0.244 -0.061 0.061 |16750
-0.244 0.467 -9.900 |-0.244 -0.061 0.000 |16500
-0.241 0.467 -9.838 |-0.244 0.061 0.122 |16709
-0.241 0.467 -9.838 |-0.366 0.061 0.244 |16167
-0.191 0.440 -9.855 |-0.488 -0.061 0.244 |16375
-0.175 0.424 -9.886 |-0.427 -0.061 0.122 |16500
-0.208 0.445 -9.924 |-0.427 -0.122 0.122 |16542
-0.234 0.448 -9.905 |-0.427 -0.122 0.122 |16458
-0.229 0.438 -9.919 |-0.488 -0.183 0.183 |16375
-0.225 0.448 -9.985 |-0.488 -0.183 0.122 |16125
-0.201 0.476 -9.919 |-0.427 -0.183 -0.061 |16417
-0.186 0.438 -9.843 |-0.488 -0.183 -0.183 |16042
-0.182 0.431 -9.909 |-0.488 -0.122 -0.122 |16333
-0.191 0.484 -9.971 |-0.549 -0.061 -0.061 |16375
-0.206 0.460 -9.926 |-0.549 -0.122 0.000 |16875
-0.198 0.443 -9.898 |-0.610 -0.122 0.122 |16666
-0.210 0.452 -9.874 |-0.732 -0.244 0.183 |16042
-0.210 0.452 -9.874 |-0.732 -0.244 0.183 |15625
-0.210 0.445 -9.890 |-0.732 -0.183 0.183 |15625
-0.198 0.438 -9.983 |-0.732 -0.183 0.305 |22125
-0.208 0.469 -9.950 |-0.732 -0.244 0.244 |18417
-0.234 0.479 -9.871 |-0.854 -0.244 0.061 |16833
-0.265 0.460 -9.888 |-0.854 -0.183 0.000 |16500
-0.256 0.452 -9.914 |-0.793 -0.122 0.061 |16708
-0.227 0.452 -9.940 |-0.854 -0.122 0.061 |17916
-0.237 0.472 -9.981 |-0.977 -0.183 0.244 |17833
-0.263 0.455 -9.990 |-0.977 -0.366 0.244 |16959
-0.256 0.436 -10.009 |-1.038 -0.366 0.000 |23417
-0.246 0.452 -9.995 |-1.099 -0.305 -0.122 |17000
-0.246 0.467 -9.890 |-1.099 -0.305 -0.122 |16500
-0.222 0.474 -9.850 |-1.099 -0.305 0.061 |16208
-0.222 0.462 -9.928 |-0.977 -0.305 0.183 |16250
-0.229 0.448 -9.962 |-0.854 -0.305 0.122 |16583
-0.222 0.450 -9.952 |-0.916 -0.305 -0.122 |55583
-0.218 0.450 -9.947 |-0.916 -0.183 -0.122 |16709
-0.206 0.443 -9.933 |-0.916 -0.183 -0.122 |16417
-0.222 0.452 -9.907 |-0.916 0.061 -0.183 |17375
-0.225 0.460 -9.845 |-0.977 -0.061 -0.183 |16709
